building_no,,dec,other_capacity (comp+seats),seminar_rooms,seminar_capacity,,study_space,computers,size,type,annual_elec,annual_other,typical_elec,typical_other,renew_elec,renew_other,co2_elec,co2_heat,co2_renew,,,,,,
1,B01 - Electronics and Computer Science,40,0,0,0,,1,1,1272.4,natural_gas,42.22,66.72,80,233.51,0,0,30,16,0,,capacity,,total_capacity,lecture_rooms,total_capacity
2,B02 - Arts,164,?,7,192,,1,1,5882,district_heating,7.21,142.34,80,233.51,0.856,0,23,837,139,,,,,,
4,B04 - Law,186,24,12,280,,1,1,2725.6,district_heating,30.07,148.04,80,229.79,0.579,0,45,404,61,,,,,,
5,B05 - Eustice,97,0,0,,,0,0,1569,district_heating,115.33,116.43,80,233.51,0.461,0,100,37,85,,,,,,
6,B06 - Nuffield Theatre,99,0,7,247,,0,0,2912.3,district_heating,20.12,148.04,150,402.16,0.579,0,32,431,44,,,,,,
7,B07 and B09 - Lanchester,64,?,7,247,,1,1,4855,district_heating,61.78,116.44,80,233.51,0.461,0,165,115,141,,,,,,
13,B13 - Tizard,34,27,2,67,,1,1,7136.5,district_heating,24.71,91.5,80,229.79,0.579,0,97,120,133,,,,,,
15,B15 - Wolfson,13,0,0,0,,0,0,1788,district_heating,3.66,48.03,80,233.51,0.856,0,4,17,21,,,,,,
16,B16 - Electronics and Computer Science,82,0,0,0,,1,1,1287.9,grid_supplies_electricity,133.93,0,80,233.51,0,0,95,0,0,,,,,,
18,B18 - Jubilee Sports Centre,174,0,0,0,,0,0,4685,district_heating,82.87,223.78,124.38,445.53,0.579,0,214,1048,293,,,,,,
19,B19 - Institute of Sound and Vibration Research,40,0,0,0,,0,0,1685,district_heating,28.6,108.84,80,229.79,0.579,0,27,23,36,,,,,,
25,B25 - E-Science Centre,70,158,3,148,,1,1,1620.7,district_heating,22.17,270.53,80,229.79,0.579,0,20,80,27,,,,,,
27,B27 - Chemistry,46,25,3,151,,1,1,3515.7,district_heating,19.85,33.59,98.75,215.26,0.856,0,38,118,228,,,,,,
29,B29 - Chemistry (Graham Hills),261,0,3,192,,0,0,4320.6,district_heating,23.84,235.46,96.68,217.27,0.856,0,56,1017,337,,,,,,
30,B30 - Chemistry (Synthetic),72,0,0,0,,0,0,7485.1,natural_gas,33.73,320.11,144,171.24,0.856,0,139,465,828,,,,,,
32,B32 - EEE,113,0,1,40,,0,0,6710.2,district_heating,145.54,108.84,80,229.79,0,0.436,537,134,129,,,,,,
34,B34 - School of Education,38,35,10,269,,1,0,1673,district_heating,18.17,116.47,80,233.51,0.461,0,17,39,14,,,,,,
35,B35 - David Kiddle,35,0,0,0,,0,0,3180.7,district_heating,32.29,73.07,80,229.79,0.556,0,56,43,70,,,,,,
36,B36 - Hartley Library,70,928,3,38,,1,1,17567,district_heating,70.3,116.45,80,233.51,0.461,0,679,414,581,,,,,,
37,B37 - Administration,32,65,0,0,,1,0,6262.9,district_heating,27.81,70.1,80,229.79,0.579,0,96,81,131,,,,,,
42,B42 - Students Union,179,350,0,0,,1,0,8218,district_heating,100,320,80,231,0.401,0,451,856,301,,,,,,
44,B44 - Shackleton,72,92,0,0,,1,1,6574.6,district_heating,60.08,166.05,80,229.79,0.367,0,217,200,125,,,,,,
46,B46 - Physics,75,27,1,18,,1,1,8740.2,district_heating,76.52,132.03,80,229.79,0.579,0,368,212,505,,,,,,
52,B48 - Health Centre,47,0,0,0,,0,0,1038.8,district_heating,20.7,351.93,150,402.16,0.579,0,12,67,16,,,,,,
53,B53 - Mountbatten,120,15,0,0,,1,1,13815.2,district_heating,56.83,374.41,80,233.51,0.856,0,432,1048,2575,,,,,,
54,B54 - Mathematics,46,35,7,222,,1,0,4515.4,district_heating,43.53,93.49,80,229.79,0.579,0,108,78,148,,,,,,
58,B58 - Murray,67,163,5,116,,1,1,6243.7,district_heating,6.45,56.56,80,233.51,0.856,0,22,353,131,,,,,,
59,B59 - New Zepler,34,15,1,40,,1,1,4028.8,natural_gas,17.29,108.53,80,235.1,0.856,0,38,86,228,,,,,,
67,B67 - Nightingale,87,?,8,188,,1,1,4859,district_heating,14.11,70.29,80,233.51,0.856,0,38,142,224,,,,40,0,0
85,B85 - Life Sciences,266,50,4,140,,1,0,10750,district_heating,141.62,157.43,80,229.79,0.579,0,837,1692,1150,,,,,,
100,B100 - Centenary Building,50,280,14,280,,1,1,6057.2,district_heating,78,13.56,80,229.79,0.856,0,537,134,438,,,,,,
,,SUM,2289,,2875,,,,,,,,,,,,,,,,,,,,
