1 ,Building 1
2 ,Building 2
2A ,Building 2 Annexe
4 ,Law
5 ,Eustice
6 ,Nuffield Theatre
7 ,Lanchester
7B ,Bin Store near B7
7C ,Engineering Square Cycle Store
8 ,A B Woods Laboratory
9 ,Engineering Workshops
10 ,Building 10
11 ,Energy Centre (CHP)
12 ,Building 12
13 ,Tizard
13A ,Cycle store near B13
14 ,Building 14
15 ,Wolfson/Rayleigh
15A ,Cycle store near B15
16 ,Building 16
17 ,R J Mitchell Wind Tunnel
18 ,Jubilee Sports Complex
19 ,ISVR
20 ,High Voltage Laboratory
21 ,Faraday
23 ,Building 23
25 ,EScience Building
26 ,Building 26
27 ,Chemistry
28 ,Froude
29 ,Graham Hills
30 ,Synthetic Chemistry
30A ,Combinatorial Chemistry
31 ,Hartley Store
32 ,EEE Building
32A ,Cycle store near B32
32B ,Cycle store near B32 Perspex
33 ,Estates (Maintenance)
34 ,Education
35 ,David Kiddle
36 ,Library (inc. blds 10 12 & 14)
37 ,George Thomas
37A ,George Thomas Building Exten
38 ,Staff Social Centre
38M ,Staff Club Temporary Toilets (M)
38N ,Staff Club Temporary Toilets (F)
38P ,West Library Square Marquee
39 ,Soton Stat Sci Res Institute
39A ,Cycle store near B39
40 ,West Bld & Staff Social Centre
41 ,Early Years Centre
42 ,Students' Union/Refectory
44 ,Shackleton
44A ,Building 44A
44B ,Potting Shed behind B44
45 ,Health Profs & Rehab Sciences
46 ,Physics
46A ,Cycle store near B46
48 ,University Health Centre
52 ,Turner Sims Concert Hall
53 ,New Mountbatten
54 ,Mathematics
56 ,Mathematical Sciences Student Centre
57 ,Students' Union Retail Centre
57A ,Cycle store near B57
58 ,Murray
59 ,New Zepler
59A ,El Sub Sta adj to B59
59B ,Waste store adj to B59
59M ,Gower Temporary Toilets (M)
59N ,Gower Temporary Toilets (F)
59P ,Gower Temporary Facility
60 ,Gower
61 ,Ship Science Store
64 ,South Gower
67 ,Nightingale
67A ,Cycle store near B67
67M ,Nightingale Temporary Toilets (M)
67N ,Nightingale Temporary Toilets (F)
67P ,Nightingale Temporary Facility
85 ,Life Sciences
100 ,Centenary Building
115 ,Interchange Kiosk
